Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Alesis DM5,ki,0.417959184,56.24675751,5.230619907,-0.801917402,0.204457879,687.2675781,7.575801373,0.866631985
Alesis DM5,ki,0.436099773,56.89493942,3.847814322,-0.912166129,0.211246237,1005.967712,22.4449234,0.769111276
Alesis DM5,ki,0.36861678,51.75636673,3.770035028,-0.795638565,0.179960474,1141.979248,2.407969713,0.839232564
Alesis DM5,ki,0.559455782,65.95867157,8.46363163,-1.035782412,0.268463999,330.9541931,18.69914246,0.589813948
Alesis DM5,ki,0.307664399,43.20046616,2.527589321,-1.181933474,0.152321532,1243.172363,2.463920355,0.901517689
Alesis DM5,ki,0.265578231,60.92093658,3.559409857,1.684945287,0.136291429,876.6959229,35.30891037,0.893066406
Alesis DM5,ki,0.650884354,61.62227631,3.966776371,-2.13382034,0.308126539,606.2876587,25.80500984,0.715861857
Alesis DM5,ki,0.561632653,64.61875153,6.294116974,-1.185683486,0.268825501,627.2216187,12.69091129,0.781483114
Alesis DM5,ki,0.181405896,49.1506424,6.429331779,1.948754086,0.093560852,977.1530151,45.14463043,0.584642887
Alesis DM5,ki,0.409977324,42.48286819,4.91447401,-2.537336246,0.199185774,879.4664307,17.60721779,0.879524708
Alesis DM5,ki,0.355555556,68.83205414,7.330298424,1.209201368,0.176803365,932.22052,6.210290909,0.846408784
Alesis DM5,ki,0.428117914,52.54125977,2.894542456,-1.347958771,0.207605153,1163.999878,19.03128242,0.804263771
Alesis DM5,ki,1.880816327,154.6906891,9.110462189,-0.776331298,0.784183681,1951.539307,9.02722168,0.149809554
Alesis DM5,ki,0.515192744,46.40272522,2.865381479,-2.957351154,0.248311475,952.4727173,16.81060028,0.890761435
Alesis DM5,ki,0.369342404,35.35861206,4.993796349,-3.273859136,0.181732863,656.2698364,2.820852995,0.867076695
Alesis DM5,ki,0.413605442,47.71547699,3.171831131,-1.822683194,0.201213971,795.0836182,24.54332161,0.873218715
Alesis DM5,ki,0.47600907,96.33356476,4.397117138,2.121032646,0.230275109,1142.649414,2.167963982,0.794662774
Alesis DM5,ki,0.732879819,213.1058044,6.807050705,5.393389148,0.343891025,256.8249817,29.72117233,0.794850528
Alesis DM5,ki,0.588480726,52.03230667,3.913688183,-2.792742503,0.280665994,1265.120972,4.088641167,0.72851932
Alesis DM5,ki,1.402630385,55.67949295,5.471583843,-6.125645807,0.601009369,1120.433716,7.96446228,0.421083719
Alesis DM5,ki,0.52244898,65.08856964,3.962128162,-0.824451592,0.250801474,957.9002686,9.468039513,0.891526699
Alesis DM5,ki,0.529705215,49.4437561,4.462834358,-2.666533427,0.253534496,1241.37146,10.10303497,0.823462546
Alesis DM5,ki,0.170521542,40.79082108,3.330327749,1.009016366,0.088266969,514.052063,30.48615837,0.949937999
Alesis DM5,ki,0.423038549,62.24775696,5.253816128,-0.197270325,0.206856266,1196.64917,2.457785845,0.672996581
Alesis DM5,ki,0.383854875,45.85115814,3.134987593,-1.756833747,0.187232256,456.1082764,27.69373703,0.93762964
Alesis DM5,ki,0.432471655,53.93772125,7.515211105,-1.221869949,0.210077941,797.4918823,6.870547771,0.843562961
Alesis DM5,ki,0.413605442,39.60285187,3.963858604,-3.030635175,0.200368837,1361.678833,14.9906702,0.763390779
Alesis DM5,ki,0.539863946,74.58364105,6.567144394,-0.084375918,0.260093749,915.1118774,3.823713303,0.705894351
Alesis DM5,ki,0.275011338,165.7477264,9.520675659,8.02114067,0.143952504,100.1292419,56.921875,0.988849521
Alesis DM5,ki,0.274285714,51.04246902,4.528298378,0.398049457,0.135855734,1898.679565,13.26090145,0.816490829
